,path,emotion
181,data/emodb/wav\12a01Wc.wav,angry
182,data/emodb/wav\12a02Ec.wav,disgust
183,data/emodb/wav\12a02Nb.wav,neutral
184,data/emodb/wav\12a02Wa.wav,angry
185,data/emodb/wav\12a02Wc.wav,angry
186,data/emodb/wav\12a04Wc.wav,angry
187,data/emodb/wav\12a05Nd.wav,neutral
188,data/emodb/wav\12a05Ta.wav,sad
189,data/emodb/wav\12a05Wb.wav,angry
190,data/emodb/wav\12a07Wa.wav,angry
191,data/emodb/wav\12b01Ta.wav,sad
192,data/emodb/wav\12b01Wa.wav,angry
193,data/emodb/wav\12b02Ea.wav,disgust
194,data/emodb/wav\12b02Fb.wav,happy
195,data/emodb/wav\12b02Na.wav,neutral
196,data/emodb/wav\12b02Wa.wav,angry
197,data/emodb/wav\12b02Wb.wav,angry
198,data/emodb/wav\12b02Wd.wav,angry
199,data/emodb/wav\12b03Ta.wav,sad
200,data/emodb/wav\12b09Td.wav,sad
201,data/emodb/wav\12b09Wc.wav,angry
202,data/emodb/wav\12b10Wa.wav,angry
203,data/emodb/wav\13a01Ea.wav,disgust
204,data/emodb/wav\13a01Ec.wav,disgust
205,data/emodb/wav\13a01Fd.wav,happy
206,data/emodb/wav\13a01Nb.wav,neutral
207,data/emodb/wav\13a01Wb.wav,angry
208,data/emodb/wav\13a02Ec.wav,disgust
209,data/emodb/wav\13a02Fa.wav,happy
210,data/emodb/wav\13a02Nc.wav,neutral
211,data/emodb/wav\13a02Ta.wav,sad
212,data/emodb/wav\13a02Wa.wav,angry
213,data/emodb/wav\13a04Fc.wav,happy
214,data/emodb/wav\13a04Ta.wav,sad
215,data/emodb/wav\13a04Wc.wav,angry
216,data/emodb/wav\13a05Ea.wav,disgust
217,data/emodb/wav\13a05Nb.wav,neutral
218,data/emodb/wav\13a05Tc.wav,sad
219,data/emodb/wav\13a05Wa.wav,angry
220,data/emodb/wav\13a05Wc.wav,angry
221,data/emodb/wav\13a07Fd.wav,happy
222,data/emodb/wav\13a07Na.wav,neutral
223,data/emodb/wav\13a07Tc.wav,sad
224,data/emodb/wav\13a07Wb.wav,angry
225,data/emodb/wav\13b01Ec.wav,disgust
226,data/emodb/wav\13b01Fc.wav,happy
227,data/emodb/wav\13b01Nc.wav,neutral
228,data/emodb/wav\13b01Wa.wav,angry
229,data/emodb/wav\13b02Fb.wav,happy
230,data/emodb/wav\13b02Nb.wav,neutral
231,data/emodb/wav\13b02Wa.wav,angry
232,data/emodb/wav\13b03Ed.wav,disgust
233,data/emodb/wav\13b03Fd.wav,happy
234,data/emodb/wav\13b03Na.wav,neutral
235,data/emodb/wav\13b03Td.wav,sad
236,data/emodb/wav\13b03Wc.wav,angry
237,data/emodb/wav\13b09Ec.wav,disgust
238,data/emodb/wav\13b09Fb.wav,happy
239,data/emodb/wav\13b09Fc.wav,happy
240,data/emodb/wav\13b09Na.wav,neutral
241,data/emodb/wav\13b09Wa.wav,angry
242,data/emodb/wav\13b10Ec.wav,disgust
243,data/emodb/wav\13b10Fa.wav,happy
244,data/emodb/wav\13b10Nc.wav,neutral
245,data/emodb/wav\13b10Wa.wav,angry
246,data/emodb/wav\13b10Wc.wav,angry
247,data/emodb/wav\14a01Ea.wav,disgust
248,data/emodb/wav\14a01Na.wav,neutral
249,data/emodb/wav\14a01Wa.wav,angry
250,data/emodb/wav\14a01Wc.wav,angry
251,data/emodb/wav\14a02Ea.wav,disgust
252,data/emodb/wav\14a02Fd.wav,happy
253,data/emodb/wav\14a02Nc.wav,neutral
254,data/emodb/wav\14a02Tb.wav,sad
255,data/emodb/wav\14a02Wa.wav,angry
256,data/emodb/wav\14a02Wc.wav,angry
257,data/emodb/wav\14a04Ed.wav,disgust
258,data/emodb/wav\14a04Tb.wav,sad
259,data/emodb/wav\14a04Tc.wav,sad
260,data/emodb/wav\14a04Wb.wav,angry
261,data/emodb/wav\14a04Wc.wav,angry
262,data/emodb/wav\14a05Fa.wav,happy
263,data/emodb/wav\14a05Fb.wav,happy
264,data/emodb/wav\14a05Na.wav,neutral
265,data/emodb/wav\14a05Ta.wav,sad
266,data/emodb/wav\14a05Tc.wav,sad
267,data/emodb/wav\14a05Wa.wav,angry
268,data/emodb/wav\14a05Wb.wav,angry
269,data/emodb/wav\14a07Eb.wav,disgust
270,data/emodb/wav\14a07Fd.wav,happy
271,data/emodb/wav\14a07Na.wav,neutral
272,data/emodb/wav\14a07Tc.wav,sad
273,data/emodb/wav\14a07Wc.wav,angry
274,data/emodb/wav\14b01Eb.wav,disgust
275,data/emodb/wav\14b01Fa.wav,happy
276,data/emodb/wav\14b01Fc.wav,happy
277,data/emodb/wav\14b01Na.wav,neutral
278,data/emodb/wav\14b01Wc.wav,angry
279,data/emodb/wav\14b02Fb.wav,happy
280,data/emodb/wav\14b02Na.wav,neutral
281,data/emodb/wav\14b02Tc.wav,sad
282,data/emodb/wav\14b02Wb.wav,angry
283,data/emodb/wav\14b02Wd.wav,angry
284,data/emodb/wav\14b03Ed.wav,disgust
285,data/emodb/wav\14b03Ta.wav,sad
286,data/emodb/wav\14b03Wb.wav,angry
287,data/emodb/wav\14b09Ea.wav,disgust
288,data/emodb/wav\14b09Fc.wav,happy
289,data/emodb/wav\14b09Td.wav,sad
290,data/emodb/wav\14b09Wa.wav,angry
291,data/emodb/wav\14b09Wc.wav,angry
292,data/emodb/wav\14b10Eb.wav,disgust
293,data/emodb/wav\14b10Nb.wav,neutral
294,data/emodb/wav\14b10Tc.wav,sad
295,data/emodb/wav\14b10Wc.wav,angry
296,data/emodb/wav\15a01Ea.wav,disgust
297,data/emodb/wav\15a01Fb.wav,happy
298,data/emodb/wav\15a01Nb.wav,neutral
299,data/emodb/wav\15a01Wa.wav,angry
300,data/emodb/wav\15a02Ea.wav,disgust
301,data/emodb/wav\15a02Na.wav,neutral
302,data/emodb/wav\15a02Ta.wav,sad
303,data/emodb/wav\15a02Wb.wav,angry
304,data/emodb/wav\15a02Wd.wav,angry
305,data/emodb/wav\15a04Fd.wav,happy
306,data/emodb/wav\15a04Nc.wav,neutral
307,data/emodb/wav\15a04Wa.wav,angry
